Clock,Kwh,seasonal,trend,resid,sensor,lag1,lag2,lag3,day,hour,month,dayofweek,quarter,dayofyear,weekofyear,year
2022-12-21 00:00:00,0.3,0.0,0.3,0.0,10,,,,21,0,12,2,4,355,51,2022
2022-12-21 01:00:00,0.62,0.0,0.62,0.0,10,,,,21,1,12,2,4,355,51,2022
2022-12-21 02:00:00,0.61,0.0,0.61,0.0,10,,,,21,2,12,2,4,355,51,2022
2022-12-21 03:00:00,0.61,0.0,0.61,0.0,10,,,,21,3,12,2,4,355,51,2022
2022-12-21 04:00:00,0.61,0.0,0.61,0.0,10,,,,21,4,12,2,4,355,51,2022
2022-12-21 05:00:00,0.6,0.0,0.6,0.0,10,,,,21,5,12,2,4,355,51,2022
2022-12-21 06:00:00,0.64,0.0,0.64,0.0,10,,,,21,6,12,2,4,355,51,2022
2022-12-21 07:00:00,0.6799999999999999,0.0,0.6799999999999999,0.0,10,,,,21,7,12,2,4,355,51,2022
2022-12-21 08:00:00,0.54,0.0,0.54,0.0,10,,,,21,8,12,2,4,355,51,2022
2022-12-21 09:00:00,1.33,0.0,1.33,0.0,10,,,,21,9,12,2,4,355,51,2022
2022-12-21 10:00:00,1.0699999999999998,0.0,1.0699999999999998,0.0,10,,,,21,10,12,2,4,355,51,2022
2022-12-21 11:00:00,9.86,0.0,9.86,0.0,10,,,,21,11,12,2,4,355,51,2022
2022-12-21 12:00:00,15.28,0.0,15.28,0.0,10,,,,21,12,12,2,4,355,51,2022
2022-12-21 13:00:00,14.36,0.0,14.36,0.0,10,,,,21,13,12,2,4,355,51,2022
2022-12-21 14:00:00,13.9,0.0,13.9,0.0,10,,,,21,14,12,2,4,355,51,2022
2022-12-21 15:00:00,13.04,0.0,13.04,0.0,10,,,,21,15,12,2,4,355,51,2022
2022-12-21 16:00:00,12.940000000000001,0.0,12.940000000000001,0.0,10,,,,21,16,12,2,4,355,51,2022
2022-12-21 17:00:00,13.28,0.0,13.28,0.0,10,,,,21,17,12,2,4,355,51,2022
2022-12-21 18:00:00,14.24,0.0,14.24,0.0,10,,,,21,18,12,2,4,355,51,2022
2022-12-21 19:00:00,14.14,0.0,14.14,0.0,10,,,,21,19,12,2,4,355,51,2022
2022-12-21 20:00:00,13.98,0.0,13.98,0.0,10,,,,21,20,12,2,4,355,51,2022
2022-12-21 21:00:00,12.809999999999999,0.0,12.809999999999999,0.0,10,,,,21,21,12,2,4,355,51,2022
2022-12-21 22:00:00,3.81,0.0,3.81,0.0,10,,,,21,22,12,2,4,355,51,2022
2022-12-21 23:00:00,0.97,0.0,0.97,0.0,10,,,,21,23,12,2,4,355,51,2022
2022-12-22 00:00:00,0.86,0.0,0.86,0.0,10,,,,22,0,12,3,4,356,51,2022
2022-12-22 01:00:00,0.86,0.0,0.86,0.0,10,,,,22,1,12,3,4,356,51,2022
2022-12-22 02:00:00,0.86,0.0,0.86,0.0,10,,,,22,2,12,3,4,356,51,2022
2022-12-22 03:00:00,0.86,0.0,0.86,0.0,10,,,,22,3,12,3,4,356,51,2022
2022-12-22 04:00:00,0.86,0.0,0.86,0.0,10,,,,22,4,12,3,4,356,51,2022
2022-12-22 05:00:00,0.86,0.0,0.86,0.0,10,,,,22,5,12,3,4,356,51,2022
2022-12-22 06:00:00,0.89,0.0,0.89,0.0,10,,,,22,6,12,3,4,356,51,2022
2022-12-22 07:00:00,0.9299999999999999,0.0,0.9299999999999999,0.0,10,,,,22,7,12,3,4,356,51,2022
2022-12-22 08:00:00,0.81,0.0,0.81,0.0,10,,,,22,8,12,3,4,356,51,2022
2022-12-22 09:00:00,0.72,0.0,0.72,0.0,10,,,,22,9,12,3,4,356,51,2022
2022-12-22 10:00:00,1.88,0.0,1.88,0.0,10,,,,22,10,12,3,4,356,51,2022
2022-12-22 11:00:00,9.76,0.0,9.76,0.0,10,,,,22,11,12,3,4,356,51,2022
2022-12-22 12:00:00,15.04,0.0,15.04,0.0,10,,,,22,12,12,3,4,356,51,2022
2022-12-22 13:00:00,14.86,0.0,14.86,0.0,10,,,,22,13,12,3,4,356,51,2022
2022-12-22 14:00:00,14.59,0.0,14.59,0.0,10,,,,22,14,12,3,4,356,51,2022
2022-12-22 15:00:00,15.29,0.0,15.29,0.0,10,,,,22,15,12,3,4,356,51,2022
2022-12-22 16:00:00,14.1,0.0,14.1,0.0,10,,,,22,16,12,3,4,356,51,2022
2022-12-22 17:00:00,13.92,0.0,13.92,0.0,10,,,,22,17,12,3,4,356,51,2022
2022-12-22 18:00:00,15.45,0.0,15.45,0.0,10,,,,22,18,12,3,4,356,51,2022
2022-12-22 19:00:00,15.2,0.0,15.2,0.0,10,,,,22,19,12,3,4,356,51,2022
2022-12-22 20:00:00,15.5,0.0,15.5,0.0,10,,,,22,20,12,3,4,356,51,2022
2022-12-22 21:00:00,11.96,0.0,11.96,0.0,10,,,,22,21,12,3,4,356,51,2022
2022-12-22 22:00:00,2.99,0.0,2.99,0.0,10,,,,22,22,12,3,4,356,51,2022
2022-12-22 23:00:00,0.85,0.0,0.85,0.0,10,,,,22,23,12,3,4,356,51,2022
2022-12-23 00:00:00,0.6799999999999999,0.0,0.6799999999999999,0.0,10,,,,23,0,12,4,4,357,51,2022
2022-12-23 01:00:00,0.63,0.0,0.63,0.0,10,,,,23,1,12,4,4,357,51,2022
2022-12-23 02:00:00,0.64,0.0,0.64,0.0,10,,,,23,2,12,4,4,357,51,2022
2022-12-23 03:00:00,0.63,0.0,0.63,0.0,10,,,,23,3,12,4,4,357,51,2022
2022-12-23 04:00:00,0.63,0.0,0.63,0.0,10,,,,23,4,12,4,4,357,51,2022
2022-12-23 05:00:00,0.62,0.0,0.62,0.0,10,,,,23,5,12,4,4,357,51,2022
2022-12-23 06:00:00,0.6799999999999999,0.0,0.6799999999999999,0.0,10,,,,23,6,12,4,4,357,51,2022
2022-12-23 07:00:00,0.72,0.0,0.72,0.0,10,,,,23,7,12,4,4,357,51,2022
2022-12-23 08:00:00,0.59,0.0,0.59,0.0,10,,,,23,8,12,4,4,357,51,2022
2022-12-23 09:00:00,0.51,0.0,0.51,0.0,10,,,,23,9,12,4,4,357,51,2022
2022-12-23 10:00:00,2.12,0.0,2.12,0.0,10,,,,23,10,12,4,4,357,51,2022
2022-12-23 11:00:00,9.9,0.0,9.9,0.0,10,,,,23,11,12,4,4,357,51,2022
2022-12-23 12:00:00,14.16,0.0,14.16,0.0,10,,,,23,12,12,4,4,357,51,2022
2022-12-23 13:00:00,16.2,0.0,16.2,0.0,10,,,,23,13,12,4,4,357,51,2022
2022-12-23 14:00:00,16.0,0.0,16.0,0.0,10,,,,23,14,12,4,4,357,51,2022
2022-12-23 15:00:00,6.69,0.0,6.69,0.0,10,,,,23,15,12,4,4,357,51,2022
2022-12-23 16:00:00,12.370000000000001,0.0,12.370000000000001,0.0,10,,,,23,16,12,4,4,357,51,2022
2022-12-23 17:00:00,13.870000000000001,0.0,13.870000000000001,0.0,10,,,,23,17,12,4,4,357,51,2022
2022-12-23 18:00:00,14.77,0.0,14.77,0.0,10,,,,23,18,12,4,4,357,51,2022
2022-12-23 19:00:00,14.68,0.0,14.68,0.0,10,,,,23,19,12,4,4,357,51,2022
2022-12-23 20:00:00,14.54,0.0,14.54,0.0,10,,,,23,20,12,4,4,357,51,2022
2022-12-23 21:00:00,10.08,0.0,10.08,0.0,10,,,,23,21,12,4,4,357,51,2022
2022-12-23 22:00:00,2.52,0.0,2.52,0.0,10,,,,23,22,12,4,4,357,51,2022
2022-12-23 23:00:00,1.3199999999999998,0.0,1.3199999999999998,0.0,10,,,,23,23,12,4,4,357,51,2022
2022-12-24 00:00:00,1.17,0.0,1.17,0.0,10,,,,24,0,12,5,4,358,51,2022
2022-12-24 01:00:00,1.18,0.0,1.18,0.0,10,,,,24,1,12,5,4,358,51,2022
2022-12-24 02:00:00,1.16,0.0,1.16,0.0,10,,,,24,2,12,5,4,358,51,2022
2022-12-24 03:00:00,1.17,0.0,1.17,0.0,10,,,,24,3,12,5,4,358,51,2022
2022-12-24 04:00:00,1.18,0.0,1.18,0.0,10,,,,24,4,12,5,4,358,51,2022
2022-12-24 05:00:00,1.17,0.0,1.17,0.0,10,,,,24,5,12,5,4,358,51,2022
2022-12-24 06:00:00,1.17,0.0,1.17,0.0,10,,,,24,6,12,5,4,358,51,2022
2022-12-24 07:00:00,1.15,0.0,1.15,0.0,10,,,,24,7,12,5,4,358,51,2022
2022-12-24 08:00:00,1.08,0.0,1.08,0.0,10,,,,24,8,12,5,4,358,51,2022
2022-12-24 09:00:00,1.02,0.0,1.02,0.0,10,,,,24,9,12,5,4,358,51,2022
2022-12-24 10:00:00,2.1,0.0,2.1,0.0,10,,,,24,10,12,5,4,358,51,2022
2022-12-24 11:00:00,8.48,0.0,8.48,0.0,10,,,,24,11,12,5,4,358,51,2022
2022-12-24 12:00:00,13.84,0.0,13.84,0.0,10,,,,24,12,12,5,4,358,51,2022
2022-12-24 13:00:00,14.01,0.0,14.01,0.0,10,,,,24,13,12,5,4,358,51,2022
2022-12-24 14:00:00,14.39,0.0,14.39,0.0,10,,,,24,14,12,5,4,358,51,2022
2022-12-24 15:00:00,15.31,0.0,15.31,0.0,10,,,,24,15,12,5,4,358,51,2022
2022-12-24 16:00:00,13.280000000000001,0.0,13.280000000000001,0.0,10,,,,24,16,12,5,4,358,51,2022
2022-12-24 17:00:00,13.219999999999999,0.0,13.219999999999999,0.0,10,,,,24,17,12,5,4,358,51,2022
2022-12-24 18:00:00,14.780000000000001,0.0,14.780000000000001,0.0,10,,,,24,18,12,5,4,358,51,2022
2022-12-24 19:00:00,14.829999999999998,0.0,14.829999999999998,0.0,10,,,,24,19,12,5,4,358,51,2022
2022-12-24 20:00:00,15.09,0.0,15.09,0.0,10,,,,24,20,12,5,4,358,51,2022
2022-12-24 21:00:00,11.46,0.0,11.46,0.0,10,,,,24,21,12,5,4,358,51,2022
2022-12-24 22:00:00,1.53,0.0,1.53,0.0,10,,,,24,22,12,5,4,358,51,2022
2022-12-24 23:00:00,0.74,0.0,0.74,0.0,10,,,,24,23,12,5,4,358,51,2022
2022-12-25 00:00:00,0.53,0.0,0.53,0.0,10,,,,25,0,12,6,4,359,51,2022
2022-12-25 01:00:00,0.52,0.0,0.52,0.0,10,,,,25,1,12,6,4,359,51,2022
2022-12-25 02:00:00,0.51,0.0,0.51,0.0,10,,,,25,2,12,6,4,359,51,2022
2022-12-25 03:00:00,0.52,0.0,0.52,0.0,10,,,,25,3,12,6,4,359,51,2022
2022-12-25 04:00:00,0.51,0.0,0.51,0.0,10,,,,25,4,12,6,4,359,51,2022
2022-12-25 05:00:00,0.52,0.0,0.52,0.0,10,,,,25,5,12,6,4,359,51,2022
2022-12-25 06:00:00,0.51,0.0,0.51,0.0,10,,,,25,6,12,6,4,359,51,2022
2022-12-25 07:00:00,0.54,0.0,0.54,0.0,10,,,,25,7,12,6,4,359,51,2022
2022-12-25 08:00:00,0.44999999999999996,0.0,0.44999999999999996,0.0,10,,,,25,8,12,6,4,359,51,2022
2022-12-25 09:00:00,0.38,0.0,0.38,0.0,10,,,,25,9,12,6,4,359,51,2022
2022-12-25 10:00:00,0.79,0.0,0.79,0.0,10,,,,25,10,12,6,4,359,51,2022
2022-12-25 11:00:00,10.63,0.0,10.63,0.0,10,,,,25,11,12,6,4,359,51,2022
2022-12-25 12:00:00,13.96,0.0,13.96,0.0,10,,,,25,12,12,6,4,359,51,2022
2022-12-25 13:00:00,14.23,0.0,14.23,0.0,10,,,,25,13,12,6,4,359,51,2022
2022-12-25 14:00:00,14.309999999999999,0.0,14.309999999999999,0.0,10,,,,25,14,12,6,4,359,51,2022
2022-12-25 15:00:00,14.01,0.0,14.01,0.0,10,,,,25,15,12,6,4,359,51,2022
2022-12-25 16:00:00,15.86,0.0,15.86,0.0,10,,,,25,16,12,6,4,359,51,2022
2022-12-25 17:00:00,14.57,0.0,14.57,0.0,10,,,,25,17,12,6,4,359,51,2022
2022-12-25 18:00:00,15.33,0.0,15.33,0.0,10,,,,25,18,12,6,4,359,51,2022
2022-12-25 19:00:00,15.63,0.0,15.63,0.0,10,,,,25,19,12,6,4,359,51,2022
2022-12-25 20:00:00,15.47,0.0,15.47,0.0,10,,,,25,20,12,6,4,359,51,2022
2022-12-25 21:00:00,13.19,0.0,13.19,0.0,10,,,,25,21,12,6,4,359,51,2022
2022-12-25 22:00:00,3.69,0.0,3.69,0.0,10,,,,25,22,12,6,4,359,51,2022
2022-12-25 23:00:00,0.69,0.0,0.69,0.0,10,,,,25,23,12,6,4,359,51,2022
2022-12-26 00:00:00,0.55,0.0,0.55,0.0,10,,,,26,0,12,0,4,360,52,2022
2022-12-26 01:00:00,0.54,0.0,0.54,0.0,10,,,,26,1,12,0,4,360,52,2022
2022-12-26 02:00:00,0.54,0.0,0.54,0.0,10,,,,26,2,12,0,4,360,52,2022
2022-12-26 03:00:00,0.54,0.0,0.54,0.0,10,,,,26,3,12,0,4,360,52,2022
2022-12-26 04:00:00,0.54,0.0,0.54,0.0,10,,,,26,4,12,0,4,360,52,2022
2022-12-26 05:00:00,0.54,0.0,0.54,0.0,10,,,,26,5,12,0,4,360,52,2022
2022-12-26 06:00:00,0.55,0.0,0.55,0.0,10,,,,26,6,12,0,4,360,52,2022
2022-12-26 07:00:00,0.5800000000000001,0.0,0.5800000000000001,0.0,10,,,,26,7,12,0,4,360,52,2022
2022-12-26 08:00:00,0.46,0.0,0.46,0.0,10,,,,26,8,12,0,4,360,52,2022
2022-12-26 09:00:00,0.43000000000000005,0.0,0.43000000000000005,0.0,10,,,,26,9,12,0,4,360,52,2022
2022-12-26 10:00:00,0.8200000000000001,0.0,0.8200000000000001,0.0,10,,,,26,10,12,0,4,360,52,2022
2022-12-26 11:00:00,11.52,0.0,11.52,0.0,10,,,,26,11,12,0,4,360,52,2022
2022-12-26 12:00:00,14.719999999999999,0.0,14.719999999999999,0.0,10,,,,26,12,12,0,4,360,52,2022
2022-12-26 13:00:00,14.34,0.0,14.34,0.0,10,,,,26,13,12,0,4,360,52,2022
2022-12-26 14:00:00,13.600000000000001,0.0,13.600000000000001,0.0,10,,,,26,14,12,0,4,360,52,2022
2022-12-26 15:00:00,14.07,0.0,14.07,0.0,10,,,,26,15,12,0,4,360,52,2022
