Clock,Kwh,seasonal,trend,resid,sensor,lag1,lag2,lag3,day,hour,month,dayofweek,quarter,dayofyear,weekofyear,year
2022-12-20 00:00:00,182.2,0.0,182.2,0.0,19,,,,20,0,12,1,4,354,51,2022
2022-12-20 01:00:00,321.5,0.0,321.5,0.0,19,,,,20,1,12,1,4,354,51,2022
2022-12-20 02:00:00,289.1,0.0,289.1,0.0,19,,,,20,2,12,1,4,354,51,2022
2022-12-20 03:00:00,275.8,0.0,275.8,0.0,19,,,,20,3,12,1,4,354,51,2022
2022-12-20 04:00:00,278.6,0.0,278.6,0.0,19,,,,20,4,12,1,4,354,51,2022
2022-12-20 05:00:00,352.1,0.0,352.1,0.0,19,,,,20,5,12,1,4,354,51,2022
2022-12-20 06:00:00,574.5,0.0,574.5,0.0,19,,,,20,6,12,1,4,354,51,2022
2022-12-20 07:00:00,814.6,0.0,814.6,0.0,19,,,,20,7,12,1,4,354,51,2022
2022-12-20 08:00:00,924.8,0.0,924.8,0.0,19,,,,20,8,12,1,4,354,51,2022
2022-12-20 09:00:00,949.3,0.0,949.3,0.0,19,,,,20,9,12,1,4,354,51,2022
2022-12-20 10:00:00,842.5999999999999,0.0,842.5999999999999,0.0,19,,,,20,10,12,1,4,354,51,2022
2022-12-20 11:00:00,791.1,0.0,791.1,0.0,19,,,,20,11,12,1,4,354,51,2022
2022-12-20 12:00:00,720.9,0.0,720.9,0.0,19,,,,20,12,12,1,4,354,51,2022
2022-12-20 13:00:00,703.3,0.0,703.3,0.0,19,,,,20,13,12,1,4,354,51,2022
2022-12-20 14:00:00,635.3,0.0,635.3,0.0,19,,,,20,14,12,1,4,354,51,2022
2022-12-20 15:00:00,556.6,0.0,556.6,0.0,19,,,,20,15,12,1,4,354,51,2022
2022-12-20 16:00:00,532.4,0.0,532.4,0.0,19,,,,20,16,12,1,4,354,51,2022
2022-12-20 17:00:00,533.3,0.0,533.3,0.0,19,,,,20,17,12,1,4,354,51,2022
2022-12-20 18:00:00,638.6,0.0,638.6,0.0,19,,,,20,18,12,1,4,354,51,2022
2022-12-20 19:00:00,659.1,0.0,659.1,0.0,19,,,,20,19,12,1,4,354,51,2022
2022-12-20 20:00:00,676.2,0.0,676.2,0.0,19,,,,20,20,12,1,4,354,51,2022
2022-12-20 21:00:00,676.2,0.0,676.2,0.0,19,,,,20,21,12,1,4,354,51,2022
2022-12-20 22:00:00,673.4,0.0,673.4,0.0,19,,,,20,22,12,1,4,354,51,2022
2022-12-20 23:00:00,585.3,0.0,585.3,0.0,19,,,,20,23,12,1,4,354,51,2022
2022-12-21 00:00:00,424.4,0.0,424.4,0.0,19,,,,21,0,12,2,4,355,51,2022
2022-12-21 01:00:00,330.0,0.0,330.0,0.0,19,,,,21,1,12,2,4,355,51,2022
2022-12-21 02:00:00,297.5,0.0,297.5,0.0,19,,,,21,2,12,2,4,355,51,2022
2022-12-21 03:00:00,294.0,0.0,294.0,0.0,19,,,,21,3,12,2,4,355,51,2022
2022-12-21 04:00:00,283.5,0.0,283.5,0.0,19,,,,21,4,12,2,4,355,51,2022
2022-12-21 05:00:00,343.8,0.0,343.8,0.0,19,,,,21,5,12,2,4,355,51,2022
2022-12-21 06:00:00,559.2,0.0,559.2,0.0,19,,,,21,6,12,2,4,355,51,2022
2022-12-21 07:00:00,852.0,0.0,852.0,0.0,19,,,,21,7,12,2,4,355,51,2022
2022-12-21 08:00:00,942.9,0.0,942.9,0.0,19,,,,21,8,12,2,4,355,51,2022
2022-12-21 09:00:00,987.2,0.0,987.2,0.0,19,,,,21,9,12,2,4,355,51,2022
2022-12-21 10:00:00,877.9,0.0,877.9,0.0,19,,,,21,10,12,2,4,355,51,2022
2022-12-21 11:00:00,801.1,0.0,801.1,0.0,19,,,,21,11,12,2,4,355,51,2022
2022-12-21 12:00:00,762.4,0.0,762.4,0.0,19,,,,21,12,12,2,4,355,51,2022
2022-12-21 13:00:00,688.6,0.0,688.6,0.0,19,,,,21,13,12,2,4,355,51,2022
2022-12-21 14:00:00,619.2,0.0,619.2,0.0,19,,,,21,14,12,2,4,355,51,2022
2022-12-21 15:00:00,546.5,0.0,546.5,0.0,19,,,,21,15,12,2,4,355,51,2022
2022-12-21 16:00:00,541.5,0.0,541.5,0.0,19,,,,21,16,12,2,4,355,51,2022
2022-12-21 17:00:00,511.6,0.0,511.6,0.0,19,,,,21,17,12,2,4,355,51,2022
2022-12-21 18:00:00,641.4,0.0,641.4,0.0,19,,,,21,18,12,2,4,355,51,2022
2022-12-21 19:00:00,733.0,0.0,733.0,0.0,19,,,,21,19,12,2,4,355,51,2022
2022-12-21 20:00:00,725.7,0.0,725.7,0.0,19,,,,21,20,12,2,4,355,51,2022
2022-12-21 21:00:00,741.9,0.0,741.9,0.0,19,,,,21,21,12,2,4,355,51,2022
2022-12-21 22:00:00,684.0,0.0,684.0,0.0,19,,,,21,22,12,2,4,355,51,2022
2022-12-21 23:00:00,598.2,0.0,598.2,0.0,19,,,,21,23,12,2,4,355,51,2022
2022-12-22 00:00:00,416.9,0.0,416.9,0.0,19,,,,22,0,12,3,4,356,51,2022
2022-12-22 01:00:00,348.6,0.0,348.6,0.0,19,,,,22,1,12,3,4,356,51,2022
2022-12-22 02:00:00,315.0,0.0,315.0,0.0,19,,,,22,2,12,3,4,356,51,2022
2022-12-22 03:00:00,311.5,0.0,311.5,0.0,19,,,,22,3,12,3,4,356,51,2022
2022-12-22 04:00:00,298.29999999999995,0.0,298.29999999999995,0.0,19,,,,22,4,12,3,4,356,51,2022
2022-12-22 05:00:00,374.4,0.0,374.4,0.0,19,,,,22,5,12,3,4,356,51,2022
2022-12-22 06:00:00,547.6,0.0,547.6,0.0,19,,,,22,6,12,3,4,356,51,2022
2022-12-22 07:00:00,840.4,0.0,840.4,0.0,19,,,,22,7,12,3,4,356,51,2022
2022-12-22 08:00:00,965.2,0.0,965.2,0.0,19,,,,22,8,12,3,4,356,51,2022
2022-12-22 09:00:00,981.7,0.0,981.7,0.0,19,,,,22,9,12,3,4,356,51,2022
2022-12-22 10:00:00,908.1,0.0,908.1,0.0,19,,,,22,10,12,3,4,356,51,2022
2022-12-22 11:00:00,870.3,0.0,870.3,0.0,19,,,,22,11,12,3,4,356,51,2022
2022-12-22 12:00:00,799.2,0.0,799.2,0.0,19,,,,22,12,12,3,4,356,51,2022
2022-12-22 13:00:00,704.3,0.0,704.3,0.0,19,,,,22,13,12,3,4,356,51,2022
2022-12-22 14:00:00,619.5,0.0,619.5,0.0,19,,,,22,14,12,3,4,356,51,2022
2022-12-22 15:00:00,572.3,0.0,572.3,0.0,19,,,,22,15,12,3,4,356,51,2022
2022-12-22 16:00:00,523.8,0.0,523.8,0.0,19,,,,22,16,12,3,4,356,51,2022
2022-12-22 17:00:00,614.7,0.0,614.7,0.0,19,,,,22,17,12,3,4,356,51,2022
2022-12-22 18:00:00,711.0,0.0,711.0,0.0,19,,,,22,18,12,3,4,356,51,2022
2022-12-22 19:00:00,738.8,0.0,738.8,0.0,19,,,,22,19,12,3,4,356,51,2022
2022-12-22 20:00:00,735.3,0.0,735.3,0.0,19,,,,22,20,12,3,4,356,51,2022
2022-12-22 21:00:00,785.5999999999999,0.0,785.5999999999999,0.0,19,,,,22,21,12,3,4,356,51,2022
2022-12-22 22:00:00,741.9,0.0,741.9,0.0,19,,,,22,22,12,3,4,356,51,2022
2022-12-22 23:00:00,644.2,0.0,644.2,0.0,19,,,,22,23,12,3,4,356,51,2022
2022-12-23 00:00:00,465.7,0.0,465.7,0.0,19,,,,23,0,12,4,4,357,51,2022
2022-12-23 01:00:00,374.4,0.0,374.4,0.0,19,,,,23,1,12,4,4,357,51,2022
2022-12-23 02:00:00,332.0,0.0,332.0,0.0,19,,,,23,2,12,4,4,357,51,2022
2022-12-23 03:00:00,317.6,0.0,317.6,0.0,19,,,,23,3,12,4,4,357,51,2022
2022-12-23 04:00:00,305.0,0.0,305.0,0.0,19,,,,23,4,12,4,4,357,51,2022
2022-12-23 05:00:00,372.70000000000005,0.0,372.70000000000005,0.0,19,,,,23,5,12,4,4,357,51,2022
2022-12-23 06:00:00,533.9,0.0,533.9,0.0,19,,,,23,6,12,4,4,357,51,2022
2022-12-23 07:00:00,794.5,0.0,794.5,0.0,19,,,,23,7,12,4,4,357,51,2022
2022-12-23 08:00:00,1106.9,0.0,1106.9,0.0,19,,,,23,8,12,4,4,357,51,2022
2022-12-23 09:00:00,1029.2,0.0,1029.2,0.0,19,,,,23,9,12,4,4,357,51,2022
2022-12-23 10:00:00,949.9,0.0,949.9,0.0,19,,,,23,10,12,4,4,357,51,2022
2022-12-23 11:00:00,932.2,0.0,932.2,0.0,19,,,,23,11,12,4,4,357,51,2022
2022-12-23 12:00:00,849.8,0.0,849.8,0.0,19,,,,23,12,12,4,4,357,51,2022
2022-12-23 13:00:00,805.4,0.0,805.4,0.0,19,,,,23,13,12,4,4,357,51,2022
2022-12-23 14:00:00,734.2,0.0,734.2,0.0,19,,,,23,14,12,4,4,357,51,2022
2022-12-23 15:00:00,643.1,0.0,643.1,0.0,19,,,,23,15,12,4,4,357,51,2022
2022-12-23 16:00:00,632.9,0.0,632.9,0.0,19,,,,23,16,12,4,4,357,51,2022
2022-12-23 17:00:00,667.3,0.0,667.3,0.0,19,,,,23,17,12,4,4,357,51,2022
2022-12-23 18:00:00,709.4000000000001,0.0,709.4000000000001,0.0,19,,,,23,18,12,4,4,357,51,2022
2022-12-23 19:00:00,763.1,0.0,763.1,0.0,19,,,,23,19,12,4,4,357,51,2022
2022-12-23 20:00:00,753.5999999999999,0.0,753.5999999999999,0.0,19,,,,23,20,12,4,4,357,51,2022
2022-12-23 21:00:00,810.0,0.0,810.0,0.0,19,,,,23,21,12,4,4,357,51,2022
2022-12-23 22:00:00,764.9,0.0,764.9,0.0,19,,,,23,22,12,4,4,357,51,2022
2022-12-23 23:00:00,680.5,0.0,680.5,0.0,19,,,,23,23,12,4,4,357,51,2022
2022-12-24 00:00:00,506.1,0.0,506.1,0.0,19,,,,24,0,12,5,4,358,51,2022
2022-12-24 01:00:00,411.8,0.0,411.8,0.0,19,,,,24,1,12,5,4,358,51,2022
2022-12-24 02:00:00,363.70000000000005,0.0,363.70000000000005,0.0,19,,,,24,2,12,5,4,358,51,2022
2022-12-24 03:00:00,341.7,0.0,341.7,0.0,19,,,,24,3,12,5,4,358,51,2022
2022-12-24 04:00:00,347.0,0.0,347.0,0.0,19,,,,24,4,12,5,4,358,51,2022
2022-12-24 05:00:00,395.3,0.0,395.3,0.0,19,,,,24,5,12,5,4,358,51,2022
2022-12-24 06:00:00,479.2,0.0,479.2,0.0,19,,,,24,6,12,5,4,358,51,2022
2022-12-24 07:00:00,604.3,0.0,604.3,0.0,19,,,,24,7,12,5,4,358,51,2022
2022-12-24 08:00:00,760.4000000000001,0.0,760.4000000000001,0.0,19,,,,24,8,12,5,4,358,51,2022
2022-12-24 09:00:00,889.4,0.0,889.4,0.0,19,,,,24,9,12,5,4,358,51,2022
2022-12-24 10:00:00,949.9000000000001,0.0,949.9000000000001,0.0,19,,,,24,10,12,5,4,358,51,2022
2022-12-24 11:00:00,1014.2,0.0,1014.2,0.0,19,,,,24,11,12,5,4,358,51,2022
2022-12-24 12:00:00,935.6,0.0,935.6,0.0,19,,,,24,12,12,5,4,358,51,2022
2022-12-24 13:00:00,880.5999999999999,0.0,880.5999999999999,0.0,19,,,,24,13,12,5,4,358,51,2022
2022-12-24 14:00:00,765.1,0.0,765.1,0.0,19,,,,24,14,12,5,4,358,51,2022
2022-12-24 15:00:00,678.5,0.0,678.5,0.0,19,,,,24,15,12,5,4,358,51,2022
2022-12-24 16:00:00,602.3,0.0,602.3,0.0,19,,,,24,16,12,5,4,358,51,2022
2022-12-24 17:00:00,647.9,0.0,647.9,0.0,19,,,,24,17,12,5,4,358,51,2022
2022-12-24 18:00:00,727.4000000000001,0.0,727.4000000000001,0.0,19,,,,24,18,12,5,4,358,51,2022
2022-12-24 19:00:00,711.2,0.0,711.2,0.0,19,,,,24,19,12,5,4,358,51,2022
2022-12-24 20:00:00,756.2,0.0,756.2,0.0,19,,,,24,20,12,5,4,358,51,2022
2022-12-24 21:00:00,755.4,0.0,755.4,0.0,19,,,,24,21,12,5,4,358,51,2022
2022-12-24 22:00:00,751.4,0.0,751.4,0.0,19,,,,24,22,12,5,4,358,51,2022
2022-12-24 23:00:00,704.1,0.0,704.1,0.0,19,,,,24,23,12,5,4,358,51,2022
2022-12-25 00:00:00,561.1,0.0,561.1,0.0,19,,,,25,0,12,6,4,359,51,2022
2022-12-25 01:00:00,425.9,0.0,425.9,0.0,19,,,,25,1,12,6,4,359,51,2022
2022-12-25 02:00:00,363.70000000000005,0.0,363.70000000000005,0.0,19,,,,25,2,12,6,4,359,51,2022
2022-12-25 03:00:00,332.4,0.0,332.4,0.0,19,,,,25,3,12,6,4,359,51,2022
2022-12-25 04:00:00,325.1,0.0,325.1,0.0,19,,,,25,4,12,6,4,359,51,2022
2022-12-25 05:00:00,373.0,0.0,373.0,0.0,19,,,,25,5,12,6,4,359,51,2022
2022-12-25 06:00:00,504.1,0.0,504.1,0.0,19,,,,25,6,12,6,4,359,51,2022
2022-12-25 07:00:00,580.4,0.0,580.4,0.0,19,,,,25,7,12,6,4,359,51,2022
2022-12-25 08:00:00,703.1,0.0,703.1,0.0,19,,,,25,8,12,6,4,359,51,2022
2022-12-25 09:00:00,851.6,0.0,851.6,0.0,19,,,,25,9,12,6,4,359,51,2022
2022-12-25 10:00:00,1062.8,0.0,1062.8,0.0,19,,,,25,10,12,6,4,359,51,2022
2022-12-25 11:00:00,1102.5,0.0,1102.5,0.0,19,,,,25,11,12,6,4,359,51,2022
2022-12-25 12:00:00,1064.9,0.0,1064.9,0.0,19,,,,25,12,12,6,4,359,51,2022
2022-12-25 13:00:00,1059.8000000000002,0.0,1059.8000000000002,0.0,19,,,,25,13,12,6,4,359,51,2022
2022-12-25 14:00:00,919.3,0.0,919.3,0.0,19,,,,25,14,12,6,4,359,51,2022
2022-12-25 15:00:00,836.0999999999999,0.0,836.0999999999999,0.0,19,,,,25,15,12,6,4,359,51,2022
2022-12-25 16:00:00,745.4000000000001,0.0,745.4000000000001,0.0,19,,,,25,16,12,6,4,359,51,2022
2022-12-25 17:00:00,707.2,0.0,707.2,0.0,19,,,,25,17,12,6,4,359,51,2022
2022-12-25 18:00:00,815.9000000000001,0.0,815.9000000000001,0.0,19,,,,25,18,12,6,4,359,51,2022
2022-12-25 19:00:00,822.6,0.0,822.6,0.0,19,,,,25,19,12,6,4,359,51,2022
2022-12-25 20:00:00,811.0,0.0,811.0,0.0,19,,,,25,20,12,6,4,359,51,2022
2022-12-25 21:00:00,826.1,0.0,826.1,0.0,19,,,,25,21,12,6,4,359,51,2022
2022-12-25 22:00:00,860.2,0.0,860.2,0.0,19,,,,25,22,12,6,4,359,51,2022
2022-12-25 23:00:00,794.9000000000001,0.0,794.9000000000001,0.0,19,,,,25,23,12,6,4,359,51,2022
2022-12-26 00:00:00,570.2,0.0,570.2,0.0,19,,,,26,0,12,0,4,360,52,2022
2022-12-26 01:00:00,439.79999999999995,0.0,439.79999999999995,0.0,19,,,,26,1,12,0,4,360,52,2022
2022-12-26 02:00:00,373.9,0.0,373.9,0.0,19,,,,26,2,12,0,4,360,52,2022
2022-12-26 03:00:00,340.6,0.0,340.6,0.0,19,,,,26,3,12,0,4,360,52,2022
2022-12-26 04:00:00,326.79999999999995,0.0,326.79999999999995,0.0,19,,,,26,4,12,0,4,360,52,2022
2022-12-26 05:00:00,375.29999999999995,0.0,375.29999999999995,0.0,19,,,,26,5,12,0,4,360,52,2022
2022-12-26 06:00:00,582.8,0.0,582.8,0.0,19,,,,26,6,12,0,4,360,52,2022
2022-12-26 07:00:00,813.1,0.0,813.1,0.0,19,,,,26,7,12,0,4,360,52,2022
2022-12-26 08:00:00,1059.3000000000002,0.0,1059.3000000000002,0.0,19,,,,26,8,12,0,4,360,52,2022
2022-12-26 09:00:00,1085.3,0.0,1085.3,0.0,19,,,,26,9,12,0,4,360,52,2022
2022-12-26 10:00:00,1061.6999999999998,0.0,1061.6999999999998,0.0,19,,,,26,10,12,0,4,360,52,2022
2022-12-26 11:00:00,1083.8,0.0,1083.8,0.0,19,,,,26,11,12,0,4,360,52,2022
2022-12-26 12:00:00,1010.9,0.0,1010.9,0.0,19,,,,26,12,12,0,4,360,52,2022
2022-12-26 13:00:00,924.8,0.0,924.8,0.0,19,,,,26,13,12,0,4,360,52,2022
2022-12-26 14:00:00,840.9,0.0,840.9,0.0,19,,,,26,14,12,0,4,360,52,2022
2022-12-26 15:00:00,746.8,0.0,746.8,0.0,19,,,,26,15,12,0,4,360,52,2022
2022-12-26 16:00:00,721.2,0.0,721.2,0.0,19,,,,26,16,12,0,4,360,52,2022
2022-12-26 17:00:00,693.2,0.0,693.2,0.0,19,,,,26,17,12,0,4,360,52,2022
2022-12-26 18:00:00,834.3,0.0,834.3,0.0,19,,,,26,18,12,0,4,360,52,2022
2022-12-26 19:00:00,957.5,0.0,957.5,0.0,19,,,,26,19,12,0,4,360,52,2022
2022-12-26 20:00:00,989.4,0.0,989.4,0.0,19,,,,26,20,12,0,4,360,52,2022
