Clock,Kwh,seasonal,trend,resid,sensor,lag1,lag2,lag3,day,hour,month,dayofweek,quarter,dayofyear,weekofyear,year
2022-12-03 00:00:00,1.31,0.0,1.31,0.0,13,,,,3,0,12,5,4,337,48,2022
2022-12-03 01:00:00,2.62,0.0,2.62,0.0,13,,,,3,1,12,5,4,337,48,2022
2022-12-03 02:00:00,2.62,0.0,2.62,0.0,13,,,,3,2,12,5,4,337,48,2022
2022-12-03 03:00:00,2.62,0.0,2.62,0.0,13,,,,3,3,12,5,4,337,48,2022
2022-12-03 04:00:00,2.63,0.0,2.63,0.0,13,,,,3,4,12,5,4,337,48,2022
2022-12-03 05:00:00,2.62,0.0,2.62,0.0,13,,,,3,5,12,5,4,337,48,2022
2022-12-03 06:00:00,2.25,0.0,2.25,0.0,13,,,,3,6,12,5,4,337,48,2022
2022-12-03 07:00:00,0.96,0.0,0.96,0.0,13,,,,3,7,12,5,4,337,48,2022
2022-12-03 08:00:00,0.62,0.0,0.62,0.0,13,,,,3,8,12,5,4,337,48,2022
2022-12-03 09:00:00,0.6699999999999999,0.0,0.6699999999999999,0.0,13,,,,3,9,12,5,4,337,48,2022
2022-12-03 10:00:00,1.02,0.0,1.02,0.0,13,,,,3,10,12,5,4,337,48,2022
2022-12-03 11:00:00,0.61,0.0,0.61,0.0,13,,,,3,11,12,5,4,337,48,2022
2022-12-03 12:00:00,0.62,0.0,0.62,0.0,13,,,,3,12,12,5,4,337,48,2022
2022-12-03 13:00:00,0.66,0.0,0.66,0.0,13,,,,3,13,12,5,4,337,48,2022
2022-12-03 14:00:00,0.6,0.0,0.6,0.0,13,,,,3,14,12,5,4,337,48,2022
2022-12-03 15:00:00,0.5800000000000001,0.0,0.5800000000000001,0.0,13,,,,3,15,12,5,4,337,48,2022
2022-12-03 16:00:00,0.69,0.0,0.69,0.0,13,,,,3,16,12,5,4,337,48,2022
2022-12-03 17:00:00,0.87,0.0,0.87,0.0,13,,,,3,17,12,5,4,337,48,2022
2022-12-03 18:00:00,2.54,0.0,2.54,0.0,13,,,,3,18,12,5,4,337,48,2022
2022-12-03 19:00:00,2.6100000000000003,0.0,2.6100000000000003,0.0,13,,,,3,19,12,5,4,337,48,2022
2022-12-03 20:00:00,2.6100000000000003,0.0,2.6100000000000003,0.0,13,,,,3,20,12,5,4,337,48,2022
2022-12-03 21:00:00,2.63,0.0,2.63,0.0,13,,,,3,21,12,5,4,337,48,2022
2022-12-03 22:00:00,2.62,0.0,2.62,0.0,13,,,,3,22,12,5,4,337,48,2022
2022-12-03 23:00:00,2.62,0.0,2.62,0.0,13,,,,3,23,12,5,4,337,48,2022
2022-12-04 00:00:00,2.62,0.0,2.62,0.0,13,,,,4,0,12,6,4,338,48,2022
2022-12-04 01:00:00,2.62,0.0,2.62,0.0,13,,,,4,1,12,6,4,338,48,2022
2022-12-04 02:00:00,2.62,0.0,2.62,0.0,13,,,,4,2,12,6,4,338,48,2022
2022-12-04 03:00:00,2.63,0.0,2.63,0.0,13,,,,4,3,12,6,4,338,48,2022
2022-12-04 04:00:00,2.62,0.0,2.62,0.0,13,,,,4,4,12,6,4,338,48,2022
2022-12-04 05:00:00,2.63,0.0,2.63,0.0,13,,,,4,5,12,6,4,338,48,2022
2022-12-04 06:00:00,2.25,0.0,2.25,0.0,13,,,,4,6,12,6,4,338,48,2022
2022-12-04 07:00:00,0.81,0.0,0.81,0.0,13,,,,4,7,12,6,4,338,48,2022
2022-12-04 08:00:00,0.59,0.0,0.59,0.0,13,,,,4,8,12,6,4,338,48,2022
2022-12-04 09:00:00,0.6,0.0,0.6,0.0,13,,,,4,9,12,6,4,338,48,2022
2022-12-04 10:00:00,0.7,0.0,0.7,0.0,13,,,,4,10,12,6,4,338,48,2022
2022-12-04 11:00:00,0.72,0.0,0.72,0.0,13,,,,4,11,12,6,4,338,48,2022
2022-12-04 12:00:00,0.6,0.0,0.6,0.0,13,,,,4,12,12,6,4,338,48,2022
2022-12-04 13:00:00,0.65,0.0,0.65,0.0,13,,,,4,13,12,6,4,338,48,2022
2022-12-04 14:00:00,0.6799999999999999,0.0,0.6799999999999999,0.0,13,,,,4,14,12,6,4,338,48,2022
2022-12-04 15:00:00,0.6699999999999999,0.0,0.6699999999999999,0.0,13,,,,4,15,12,6,4,338,48,2022
2022-12-04 16:00:00,0.63,0.0,0.63,0.0,13,,,,4,16,12,6,4,338,48,2022
2022-12-04 17:00:00,1.71,0.0,1.71,0.0,13,,,,4,17,12,6,4,338,48,2022
2022-12-04 18:00:00,2.83,0.0,2.83,0.0,13,,,,4,18,12,6,4,338,48,2022
