Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-11-18 00:00:00,12,322,0,4,4,11,2022,,,
2022-11-18 01:00:00,12,322,1,4,4,11,2022,,,
2022-11-18 02:00:00,12,322,2,4,4,11,2022,,,
2022-11-18 03:00:00,12,322,3,4,4,11,2022,,,
2022-11-18 04:00:00,12,322,4,4,4,11,2022,,,
2022-11-18 05:00:00,12,322,5,4,4,11,2022,,,
2022-11-18 06:00:00,12,322,6,4,4,11,2022,,,
2022-11-18 07:00:00,12,322,7,4,4,11,2022,,,
2022-11-18 08:00:00,12,322,8,4,4,11,2022,,,
2022-11-18 09:00:00,12,322,9,4,4,11,2022,,,
2022-11-18 10:00:00,12,322,10,4,4,11,2022,,,
2022-11-18 11:00:00,12,322,11,4,4,11,2022,,,
2022-11-18 12:00:00,12,322,12,4,4,11,2022,,,
2022-11-18 13:00:00,12,322,13,4,4,11,2022,,,
2022-11-18 14:00:00,12,322,14,4,4,11,2022,,,
2022-11-18 15:00:00,12,322,15,4,4,11,2022,,,
2022-11-18 16:00:00,12,322,16,4,4,11,2022,,,
2022-11-18 17:00:00,12,322,17,4,4,11,2022,,,
2022-11-18 18:00:00,12,322,18,4,4,11,2022,,,
2022-11-18 19:00:00,12,322,19,4,4,11,2022,,,
2022-11-18 20:00:00,12,322,20,4,4,11,2022,,,
2022-11-18 21:00:00,12,322,21,4,4,11,2022,,,
2022-11-18 22:00:00,12,322,22,4,4,11,2022,,,
2022-11-18 23:00:00,12,322,23,4,4,11,2022,,,
2022-11-19 00:00:00,12,323,0,5,4,11,2022,,,
2022-11-19 01:00:00,12,323,1,5,4,11,2022,,,
2022-11-19 02:00:00,12,323,2,5,4,11,2022,,,
2022-11-19 03:00:00,12,323,3,5,4,11,2022,,,
2022-11-19 04:00:00,12,323,4,5,4,11,2022,,,
2022-11-19 05:00:00,12,323,5,5,4,11,2022,,,
2022-11-19 06:00:00,12,323,6,5,4,11,2022,,,
2022-11-19 07:00:00,12,323,7,5,4,11,2022,,,
2022-11-19 08:00:00,12,323,8,5,4,11,2022,,,
2022-11-19 09:00:00,12,323,9,5,4,11,2022,,,
2022-11-19 10:00:00,12,323,10,5,4,11,2022,,,
2022-11-19 11:00:00,12,323,11,5,4,11,2022,,,
2022-11-19 12:00:00,12,323,12,5,4,11,2022,,,
2022-11-19 13:00:00,12,323,13,5,4,11,2022,,,
2022-11-19 14:00:00,12,323,14,5,4,11,2022,,,
2022-11-19 15:00:00,12,323,15,5,4,11,2022,,,
2022-11-19 16:00:00,12,323,16,5,4,11,2022,,,
2022-11-19 17:00:00,12,323,17,5,4,11,2022,,,
2022-11-19 18:00:00,12,323,18,5,4,11,2022,,,
2022-11-19 19:00:00,12,323,19,5,4,11,2022,,,
2022-11-19 20:00:00,12,323,20,5,4,11,2022,,,
2022-11-19 21:00:00,12,323,21,5,4,11,2022,,,
2022-11-19 22:00:00,12,323,22,5,4,11,2022,,,
2022-11-19 23:00:00,12,323,23,5,4,11,2022,,,
2022-11-20 00:00:00,12,324,0,6,4,11,2022,,,
2022-11-20 01:00:00,12,324,1,6,4,11,2022,,,
2022-11-20 02:00:00,12,324,2,6,4,11,2022,,,
2022-11-20 03:00:00,12,324,3,6,4,11,2022,,,
2022-11-20 04:00:00,12,324,4,6,4,11,2022,,,
2022-11-20 05:00:00,12,324,5,6,4,11,2022,,,
2022-11-20 06:00:00,12,324,6,6,4,11,2022,,,
2022-11-20 07:00:00,12,324,7,6,4,11,2022,,,
2022-11-20 08:00:00,12,324,8,6,4,11,2022,,,
2022-11-20 09:00:00,12,324,9,6,4,11,2022,,,
2022-11-20 10:00:00,12,324,10,6,4,11,2022,,,
2022-11-20 11:00:00,12,324,11,6,4,11,2022,,,
2022-11-20 12:00:00,12,324,12,6,4,11,2022,,,
2022-11-20 13:00:00,12,324,13,6,4,11,2022,,,
2022-11-20 14:00:00,12,324,14,6,4,11,2022,,,
2022-11-20 15:00:00,12,324,15,6,4,11,2022,,,
2022-11-20 16:00:00,12,324,16,6,4,11,2022,,,
2022-11-20 17:00:00,12,324,17,6,4,11,2022,,,
2022-11-20 18:00:00,12,324,18,6,4,11,2022,,,
2022-11-20 19:00:00,12,324,19,6,4,11,2022,,,
2022-11-20 20:00:00,12,324,20,6,4,11,2022,,,
2022-11-20 21:00:00,12,324,21,6,4,11,2022,,,
2022-11-20 22:00:00,12,324,22,6,4,11,2022,,,
2022-11-20 23:00:00,12,324,23,6,4,11,2022,,,
2022-11-21 00:00:00,12,325,0,0,4,11,2022,,,
2022-11-21 01:00:00,12,325,1,0,4,11,2022,,,
2022-11-21 02:00:00,12,325,2,0,4,11,2022,,,
2022-11-21 03:00:00,12,325,3,0,4,11,2022,,,
2022-11-21 04:00:00,12,325,4,0,4,11,2022,,,
2022-11-21 05:00:00,12,325,5,0,4,11,2022,,,
2022-11-21 06:00:00,12,325,6,0,4,11,2022,,,
2022-11-21 07:00:00,12,325,7,0,4,11,2022,,,
2022-11-21 08:00:00,12,325,8,0,4,11,2022,,,
2022-11-21 09:00:00,12,325,9,0,4,11,2022,,,
2022-11-21 10:00:00,12,325,10,0,4,11,2022,,,
2022-11-21 11:00:00,12,325,11,0,4,11,2022,,,
2022-11-21 12:00:00,12,325,12,0,4,11,2022,,,
2022-11-21 13:00:00,12,325,13,0,4,11,2022,,,
2022-11-21 14:00:00,12,325,14,0,4,11,2022,,,
2022-11-21 15:00:00,12,325,15,0,4,11,2022,,,
2022-11-21 16:00:00,12,325,16,0,4,11,2022,,,
2022-11-21 17:00:00,12,325,17,0,4,11,2022,,,
2022-11-21 18:00:00,12,325,18,0,4,11,2022,,,
2022-11-21 19:00:00,12,325,19,0,4,11,2022,,,
2022-11-21 20:00:00,12,325,20,0,4,11,2022,,,
2022-11-21 21:00:00,12,325,21,0,4,11,2022,,,
2022-11-21 22:00:00,12,325,22,0,4,11,2022,,,
2022-11-21 23:00:00,12,325,23,0,4,11,2022,,,
2022-11-22 00:00:00,12,326,0,1,4,11,2022,,,
2022-11-22 01:00:00,12,326,1,1,4,11,2022,,,
2022-11-22 02:00:00,12,326,2,1,4,11,2022,,,
