Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-12-07 00:00:00,5,341,0,2,4,12,2022,,,
2022-12-07 01:00:00,5,341,1,2,4,12,2022,,,
2022-12-07 02:00:00,5,341,2,2,4,12,2022,,,
2022-12-07 03:00:00,5,341,3,2,4,12,2022,,,
2022-12-07 04:00:00,5,341,4,2,4,12,2022,,,
2022-12-07 05:00:00,5,341,5,2,4,12,2022,,,
2022-12-07 06:00:00,5,341,6,2,4,12,2022,,,
2022-12-07 07:00:00,5,341,7,2,4,12,2022,,,
2022-12-07 08:00:00,5,341,8,2,4,12,2022,,,
2022-12-07 09:00:00,5,341,9,2,4,12,2022,,,
2022-12-07 10:00:00,5,341,10,2,4,12,2022,,,
2022-12-07 11:00:00,5,341,11,2,4,12,2022,,,
2022-12-07 12:00:00,5,341,12,2,4,12,2022,,,
2022-12-07 13:00:00,5,341,13,2,4,12,2022,,,
2022-12-07 14:00:00,5,341,14,2,4,12,2022,,,
2022-12-07 15:00:00,5,341,15,2,4,12,2022,,,
2022-12-07 16:00:00,5,341,16,2,4,12,2022,,,
2022-12-07 17:00:00,5,341,17,2,4,12,2022,,,
2022-12-07 18:00:00,5,341,18,2,4,12,2022,,,
2022-12-07 19:00:00,5,341,19,2,4,12,2022,,,
2022-12-07 20:00:00,5,341,20,2,4,12,2022,,,
2022-12-07 21:00:00,5,341,21,2,4,12,2022,,,
2022-12-07 22:00:00,5,341,22,2,4,12,2022,,,
2022-12-07 23:00:00,5,341,23,2,4,12,2022,,,
2022-12-08 00:00:00,5,342,0,3,4,12,2022,,,
2022-12-08 01:00:00,5,342,1,3,4,12,2022,,,
2022-12-08 02:00:00,5,342,2,3,4,12,2022,,,
2022-12-08 03:00:00,5,342,3,3,4,12,2022,,,
2022-12-08 04:00:00,5,342,4,3,4,12,2022,,,
2022-12-08 05:00:00,5,342,5,3,4,12,2022,,,
2022-12-08 06:00:00,5,342,6,3,4,12,2022,,,
2022-12-08 07:00:00,5,342,7,3,4,12,2022,,,
2022-12-08 08:00:00,5,342,8,3,4,12,2022,,,
2022-12-08 09:00:00,5,342,9,3,4,12,2022,,,
2022-12-08 10:00:00,5,342,10,3,4,12,2022,,,
2022-12-08 11:00:00,5,342,11,3,4,12,2022,,,
2022-12-08 12:00:00,5,342,12,3,4,12,2022,,,
2022-12-08 13:00:00,5,342,13,3,4,12,2022,,,
2022-12-08 14:00:00,5,342,14,3,4,12,2022,,,
2022-12-08 15:00:00,5,342,15,3,4,12,2022,,,
2022-12-08 16:00:00,5,342,16,3,4,12,2022,,,
2022-12-08 17:00:00,5,342,17,3,4,12,2022,,,
2022-12-08 18:00:00,5,342,18,3,4,12,2022,,,
2022-12-08 19:00:00,5,342,19,3,4,12,2022,,,
2022-12-08 20:00:00,5,342,20,3,4,12,2022,,,
2022-12-08 21:00:00,5,342,21,3,4,12,2022,,,
2022-12-08 22:00:00,5,342,22,3,4,12,2022,,,
2022-12-08 23:00:00,5,342,23,3,4,12,2022,,,
2022-12-09 00:00:00,5,343,0,4,4,12,2022,,,
2022-12-09 01:00:00,5,343,1,4,4,12,2022,,,
2022-12-09 02:00:00,5,343,2,4,4,12,2022,,,
2022-12-09 03:00:00,5,343,3,4,4,12,2022,,,
2022-12-09 04:00:00,5,343,4,4,4,12,2022,,,
2022-12-09 05:00:00,5,343,5,4,4,12,2022,,,
2022-12-09 06:00:00,5,343,6,4,4,12,2022,,,
2022-12-09 07:00:00,5,343,7,4,4,12,2022,,,
2022-12-09 08:00:00,5,343,8,4,4,12,2022,,,
2022-12-09 09:00:00,5,343,9,4,4,12,2022,,,
2022-12-09 10:00:00,5,343,10,4,4,12,2022,,,
2022-12-09 11:00:00,5,343,11,4,4,12,2022,,,
2022-12-09 12:00:00,5,343,12,4,4,12,2022,,,
2022-12-09 13:00:00,5,343,13,4,4,12,2022,,,
2022-12-09 14:00:00,5,343,14,4,4,12,2022,,,
2022-12-09 15:00:00,5,343,15,4,4,12,2022,,,
2022-12-09 16:00:00,5,343,16,4,4,12,2022,,,
2022-12-09 17:00:00,5,343,17,4,4,12,2022,,,
2022-12-09 18:00:00,5,343,18,4,4,12,2022,,,
2022-12-09 19:00:00,5,343,19,4,4,12,2022,,,
2022-12-09 20:00:00,5,343,20,4,4,12,2022,,,
2022-12-09 21:00:00,5,343,21,4,4,12,2022,,,
2022-12-09 22:00:00,5,343,22,4,4,12,2022,,,
2022-12-09 23:00:00,5,343,23,4,4,12,2022,,,
2022-12-10 00:00:00,5,344,0,5,4,12,2022,,,
2022-12-10 01:00:00,5,344,1,5,4,12,2022,,,
2022-12-10 02:00:00,5,344,2,5,4,12,2022,,,
2022-12-10 03:00:00,5,344,3,5,4,12,2022,,,
2022-12-10 04:00:00,5,344,4,5,4,12,2022,,,
2022-12-10 05:00:00,5,344,5,5,4,12,2022,,,
2022-12-10 06:00:00,5,344,6,5,4,12,2022,,,
2022-12-10 07:00:00,5,344,7,5,4,12,2022,,,
2022-12-10 08:00:00,5,344,8,5,4,12,2022,,,
2022-12-10 09:00:00,5,344,9,5,4,12,2022,,,
2022-12-10 10:00:00,5,344,10,5,4,12,2022,,,
2022-12-10 11:00:00,5,344,11,5,4,12,2022,,,
2022-12-10 12:00:00,5,344,12,5,4,12,2022,,,
2022-12-10 13:00:00,5,344,13,5,4,12,2022,,,
2022-12-10 14:00:00,5,344,14,5,4,12,2022,,,
2022-12-10 15:00:00,5,344,15,5,4,12,2022,,,
2022-12-10 16:00:00,5,344,16,5,4,12,2022,,,
2022-12-10 17:00:00,5,344,17,5,4,12,2022,,,
2022-12-10 18:00:00,5,344,18,5,4,12,2022,,,
2022-12-10 19:00:00,5,344,19,5,4,12,2022,,,
2022-12-10 20:00:00,5,344,20,5,4,12,2022,,,
2022-12-10 21:00:00,5,344,21,5,4,12,2022,,,
2022-12-10 22:00:00,5,344,22,5,4,12,2022,,,
2022-12-10 23:00:00,5,344,23,5,4,12,2022,,,
2022-12-11 00:00:00,5,345,0,6,4,12,2022,,,
2022-12-11 01:00:00,5,345,1,6,4,12,2022,,,
2022-12-11 02:00:00,5,345,2,6,4,12,2022,,,
2022-12-11 03:00:00,5,345,3,6,4,12,2022,,,
2022-12-11 04:00:00,5,345,4,6,4,12,2022,,,
