Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2023-01-16 00:00:00,8,16,0,0,1,1,2023,,,
2023-01-16 01:00:00,8,16,1,0,1,1,2023,,,
2023-01-16 02:00:00,8,16,2,0,1,1,2023,,,
2023-01-16 03:00:00,8,16,3,0,1,1,2023,,,
2023-01-16 04:00:00,8,16,4,0,1,1,2023,,,
2023-01-16 05:00:00,8,16,5,0,1,1,2023,,,
2023-01-16 06:00:00,8,16,6,0,1,1,2023,,,
2023-01-16 07:00:00,8,16,7,0,1,1,2023,,,
2023-01-16 08:00:00,8,16,8,0,1,1,2023,,,
2023-01-16 09:00:00,8,16,9,0,1,1,2023,,,
2023-01-16 10:00:00,8,16,10,0,1,1,2023,,,
2023-01-16 11:00:00,8,16,11,0,1,1,2023,,,
2023-01-16 12:00:00,8,16,12,0,1,1,2023,,,
2023-01-16 13:00:00,8,16,13,0,1,1,2023,,,
2023-01-16 14:00:00,8,16,14,0,1,1,2023,,,
2023-01-16 15:00:00,8,16,15,0,1,1,2023,,,
2023-01-16 16:00:00,8,16,16,0,1,1,2023,,,
2023-01-16 17:00:00,8,16,17,0,1,1,2023,,,
2023-01-16 18:00:00,8,16,18,0,1,1,2023,,,
2023-01-16 19:00:00,8,16,19,0,1,1,2023,,,
2023-01-16 20:00:00,8,16,20,0,1,1,2023,,,
2023-01-16 21:00:00,8,16,21,0,1,1,2023,,,
2023-01-16 22:00:00,8,16,22,0,1,1,2023,,,
2023-01-16 23:00:00,8,16,23,0,1,1,2023,,,
2023-01-17 00:00:00,8,17,0,1,1,1,2023,,,
2023-01-17 01:00:00,8,17,1,1,1,1,2023,,,
2023-01-17 02:00:00,8,17,2,1,1,1,2023,,,
2023-01-17 03:00:00,8,17,3,1,1,1,2023,,,
2023-01-17 04:00:00,8,17,4,1,1,1,2023,,,
2023-01-17 05:00:00,8,17,5,1,1,1,2023,,,
2023-01-17 06:00:00,8,17,6,1,1,1,2023,,,
2023-01-17 07:00:00,8,17,7,1,1,1,2023,,,
2023-01-17 08:00:00,8,17,8,1,1,1,2023,,,
2023-01-17 09:00:00,8,17,9,1,1,1,2023,,,
2023-01-17 10:00:00,8,17,10,1,1,1,2023,,,
2023-01-17 11:00:00,8,17,11,1,1,1,2023,,,
2023-01-17 12:00:00,8,17,12,1,1,1,2023,,,
2023-01-17 13:00:00,8,17,13,1,1,1,2023,,,
2023-01-17 14:00:00,8,17,14,1,1,1,2023,,,
2023-01-17 15:00:00,8,17,15,1,1,1,2023,,,
2023-01-17 16:00:00,8,17,16,1,1,1,2023,,,
2023-01-17 17:00:00,8,17,17,1,1,1,2023,,,
2023-01-17 18:00:00,8,17,18,1,1,1,2023,,,
2023-01-17 19:00:00,8,17,19,1,1,1,2023,,,
2023-01-17 20:00:00,8,17,20,1,1,1,2023,,,
2023-01-17 21:00:00,8,17,21,1,1,1,2023,,,
2023-01-17 22:00:00,8,17,22,1,1,1,2023,,,
2023-01-17 23:00:00,8,17,23,1,1,1,2023,,,
2023-01-18 00:00:00,8,18,0,2,1,1,2023,,,
2023-01-18 01:00:00,8,18,1,2,1,1,2023,,,
2023-01-18 02:00:00,8,18,2,2,1,1,2023,,,
2023-01-18 03:00:00,8,18,3,2,1,1,2023,,,
2023-01-18 04:00:00,8,18,4,2,1,1,2023,,,
2023-01-18 05:00:00,8,18,5,2,1,1,2023,,,
2023-01-18 06:00:00,8,18,6,2,1,1,2023,,,
2023-01-18 07:00:00,8,18,7,2,1,1,2023,,,
2023-01-18 08:00:00,8,18,8,2,1,1,2023,,,
2023-01-18 09:00:00,8,18,9,2,1,1,2023,,,
2023-01-18 10:00:00,8,18,10,2,1,1,2023,,,
2023-01-18 11:00:00,8,18,11,2,1,1,2023,,,
2023-01-18 12:00:00,8,18,12,2,1,1,2023,,,
2023-01-18 13:00:00,8,18,13,2,1,1,2023,,,
2023-01-18 14:00:00,8,18,14,2,1,1,2023,,,
2023-01-18 15:00:00,8,18,15,2,1,1,2023,,,
2023-01-18 16:00:00,8,18,16,2,1,1,2023,,,
2023-01-18 17:00:00,8,18,17,2,1,1,2023,,,
2023-01-18 18:00:00,8,18,18,2,1,1,2023,,,
2023-01-18 19:00:00,8,18,19,2,1,1,2023,,,
2023-01-18 20:00:00,8,18,20,2,1,1,2023,,,
2023-01-18 21:00:00,8,18,21,2,1,1,2023,,,
2023-01-18 22:00:00,8,18,22,2,1,1,2023,,,
2023-01-18 23:00:00,8,18,23,2,1,1,2023,,,
2023-01-19 00:00:00,8,19,0,3,1,1,2023,,,
2023-01-19 01:00:00,8,19,1,3,1,1,2023,,,
2023-01-19 02:00:00,8,19,2,3,1,1,2023,,,
2023-01-19 03:00:00,8,19,3,3,1,1,2023,,,
2023-01-19 04:00:00,8,19,4,3,1,1,2023,,,
2023-01-19 05:00:00,8,19,5,3,1,1,2023,,,
2023-01-19 06:00:00,8,19,6,3,1,1,2023,,,
2023-01-19 07:00:00,8,19,7,3,1,1,2023,,,
2023-01-19 08:00:00,8,19,8,3,1,1,2023,,,
2023-01-19 09:00:00,8,19,9,3,1,1,2023,,,
2023-01-19 10:00:00,8,19,10,3,1,1,2023,,,
2023-01-19 11:00:00,8,19,11,3,1,1,2023,,,
2023-01-19 12:00:00,8,19,12,3,1,1,2023,,,
2023-01-19 13:00:00,8,19,13,3,1,1,2023,,,
