Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-12-03 00:00:00,13,337,0,5,4,12,2022,,,
2022-12-03 01:00:00,13,337,1,5,4,12,2022,,,
2022-12-03 02:00:00,13,337,2,5,4,12,2022,,,
2022-12-03 03:00:00,13,337,3,5,4,12,2022,,,
2022-12-03 04:00:00,13,337,4,5,4,12,2022,,,
2022-12-03 05:00:00,13,337,5,5,4,12,2022,,,
2022-12-03 06:00:00,13,337,6,5,4,12,2022,,,
2022-12-03 07:00:00,13,337,7,5,4,12,2022,,,
2022-12-03 08:00:00,13,337,8,5,4,12,2022,,,
2022-12-03 09:00:00,13,337,9,5,4,12,2022,,,
2022-12-03 10:00:00,13,337,10,5,4,12,2022,,,
2022-12-03 11:00:00,13,337,11,5,4,12,2022,,,
2022-12-03 12:00:00,13,337,12,5,4,12,2022,,,
2022-12-03 13:00:00,13,337,13,5,4,12,2022,,,
2022-12-03 14:00:00,13,337,14,5,4,12,2022,,,
2022-12-03 15:00:00,13,337,15,5,4,12,2022,,,
2022-12-03 16:00:00,13,337,16,5,4,12,2022,,,
2022-12-03 17:00:00,13,337,17,5,4,12,2022,,,
2022-12-03 18:00:00,13,337,18,5,4,12,2022,,,
2022-12-03 19:00:00,13,337,19,5,4,12,2022,,,
2022-12-03 20:00:00,13,337,20,5,4,12,2022,,,
2022-12-03 21:00:00,13,337,21,5,4,12,2022,,,
2022-12-03 22:00:00,13,337,22,5,4,12,2022,,,
2022-12-03 23:00:00,13,337,23,5,4,12,2022,,,
2022-12-04 00:00:00,13,338,0,6,4,12,2022,,,
2022-12-04 01:00:00,13,338,1,6,4,12,2022,,,
2022-12-04 02:00:00,13,338,2,6,4,12,2022,,,
2022-12-04 03:00:00,13,338,3,6,4,12,2022,,,
2022-12-04 04:00:00,13,338,4,6,4,12,2022,,,
2022-12-04 05:00:00,13,338,5,6,4,12,2022,,,
2022-12-04 06:00:00,13,338,6,6,4,12,2022,,,
2022-12-04 07:00:00,13,338,7,6,4,12,2022,,,
2022-12-04 08:00:00,13,338,8,6,4,12,2022,,,
2022-12-04 09:00:00,13,338,9,6,4,12,2022,,,
2022-12-04 10:00:00,13,338,10,6,4,12,2022,,,
2022-12-04 11:00:00,13,338,11,6,4,12,2022,,,
2022-12-04 12:00:00,13,338,12,6,4,12,2022,,,
2022-12-04 13:00:00,13,338,13,6,4,12,2022,,,
2022-12-04 14:00:00,13,338,14,6,4,12,2022,,,
2022-12-04 15:00:00,13,338,15,6,4,12,2022,,,
2022-12-04 16:00:00,13,338,16,6,4,12,2022,,,
