Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-12-01 13:00:00,4,335,13,3,4,12,2022,,,
2022-12-01 14:00:00,4,335,14,3,4,12,2022,,,
2022-12-01 15:00:00,4,335,15,3,4,12,2022,,,
2022-12-01 16:00:00,4,335,16,3,4,12,2022,,,
2022-12-01 17:00:00,4,335,17,3,4,12,2022,,,
2022-12-01 18:00:00,4,335,18,3,4,12,2022,,,
2022-12-01 19:00:00,4,335,19,3,4,12,2022,,,
2022-12-01 20:00:00,4,335,20,3,4,12,2022,,,
2022-12-01 21:00:00,4,335,21,3,4,12,2022,,,
2022-12-01 22:00:00,4,335,22,3,4,12,2022,,,
2022-12-01 23:00:00,4,335,23,3,4,12,2022,,,
2022-12-02 00:00:00,4,336,0,4,4,12,2022,,,
2022-12-02 01:00:00,4,336,1,4,4,12,2022,,,
2022-12-02 02:00:00,4,336,2,4,4,12,2022,,,
2022-12-02 03:00:00,4,336,3,4,4,12,2022,,,
2022-12-02 04:00:00,4,336,4,4,4,12,2022,,,
2022-12-02 05:00:00,4,336,5,4,4,12,2022,,,
2022-12-02 06:00:00,4,336,6,4,4,12,2022,,,
2022-12-02 07:00:00,4,336,7,4,4,12,2022,,,
2022-12-02 08:00:00,4,336,8,4,4,12,2022,,,
2022-12-02 09:00:00,4,336,9,4,4,12,2022,,,
2022-12-02 10:00:00,4,336,10,4,4,12,2022,,,
2022-12-02 11:00:00,4,336,11,4,4,12,2022,,,
2022-12-02 12:00:00,4,336,12,4,4,12,2022,,,
2022-12-02 13:00:00,4,336,13,4,4,12,2022,,,
2022-12-02 14:00:00,4,336,14,4,4,12,2022,,,
2022-12-02 15:00:00,4,336,15,4,4,12,2022,,,
2022-12-02 16:00:00,4,336,16,4,4,12,2022,,,
2022-12-02 17:00:00,4,336,17,4,4,12,2022,,,
2022-12-02 18:00:00,4,336,18,4,4,12,2022,,,
2022-12-02 19:00:00,4,336,19,4,4,12,2022,,,
2022-12-02 20:00:00,4,336,20,4,4,12,2022,,,
2022-12-02 21:00:00,4,336,21,4,4,12,2022,,,
2022-12-02 22:00:00,4,336,22,4,4,12,2022,,,
2022-12-02 23:00:00,4,336,23,4,4,12,2022,,,
2022-12-03 00:00:00,4,337,0,5,4,12,2022,,,
2022-12-03 01:00:00,4,337,1,5,4,12,2022,,,
2022-12-03 02:00:00,4,337,2,5,4,12,2022,,,
2022-12-03 03:00:00,4,337,3,5,4,12,2022,,,
2022-12-03 04:00:00,4,337,4,5,4,12,2022,,,
2022-12-03 05:00:00,4,337,5,5,4,12,2022,,,
2022-12-03 06:00:00,4,337,6,5,4,12,2022,,,
2022-12-03 07:00:00,4,337,7,5,4,12,2022,,,
2022-12-03 08:00:00,4,337,8,5,4,12,2022,,,
